"award","projname","projectnmbr","dateofaward","lgid","program","county"
"0","Gilpin County 1st Judicial DA Gaming Impacts","15-918","08-OCT-15","24005","GAME","Gilpin"
"1650","Central City Main Street 2016 Conference Scholarship","08133","28-JAN-16","64263","EIAF","Gilpin"
"2500","Central City Main Street Mini-Grant FY 16-17","08218","23-MAY-16","64263","EIAF","Gilpin"
"2500","Central City Main Street Mini Grant FY 17-18","08457","21-JUL-17",NA,"EIAF","Gilpin"
"3000","Central City Main Street Scholarship FY 17-18","08482","28-JUL-17",NA,"EIAF","Gilpin"
"0","Gilpin County Ambulance Operations","16-944","20-OCT-16","24005","GAME","Gilpin"
"0","Gilpin County Sheriff's Office Jail Operations","16-945","20-OCT-16","24005","GAME","Gilpin"
"0","Gilpin County Victim Services","16-946","20-OCT-16","24005","GAME","Gilpin"
"0","Gilpin County Sheriff's Office Operations","16-947","20-OCT-16","24005","GAME","Gilpin"
"0","Gilpin County RE-1 School Based Counseling","16-948","20-OCT-16","24005","GAME","Gilpin"
"0","Gilpin County Eagles' Nest Childcare/Learning Center","16-949","20-OCT-16","24005","GAME","Gilpin"
"0","Gilpin County 1st Judicial DA Gaming Impacts","16-950","20-OCT-16","24005","GAME","Gilpin"
